Date,Amount,Expense_Type,Category,Description
12-11-2024,1313,Income,Transportation,Payment for Public Transport
02-11-2022,1876,Income,Healthcare,Payment for Doctor Visits
22-04-2023,4428,Income,Miscellaneous,Payment for Gifts
20-07-2025,1655,Expense,Housing,Payment for Repairs
16-07-2025,3886,Expense,Debt Payments,Payment for Credit Card
16-04-2024,3448,Income,Debt Payments,Payment for EMI
31-08-2024,4601,Expense,Utilities,Payment for Phone
04-11-2023,3056,Expense,Groceries,Payment for Snacks
27-09-2024,1054,Expense,Healthcare,Payment for Doctor
09-03-2023,2128,Expense,Debt Payments,Payment for Credit Card
18-04-2023,2545,Expense,Healthcare,Payment for Health Insurance
20-06-2025,2311,Expense,Transportation,Payment for Public Transport
25-06-2023,3814,Income,Travel,Payment for Sightseeing
22-12-2024,1787,Income,Personal Care,Payment for Cosmetics
28-12-2023,3146,Expense,Groceries,Payment for Dairy
11-07-2025,2494,Income,Clothing,Payment for Formal Wear
21-07-2023,386,Expense,Housing,Payment for Mortgage
17-09-2024,3033,Expense,Education,Payment for Courses
01-09-2023,1017,Expense,Entertainment,Payment for Streaming Services
23-02-2025,721,Expense,Personal Care,Payment for Gym Membership
09-09-2025,1353,Expense,Transportation,Payment for Car Maintenance
28-11-2024,4914,Income,Personal Care,Payment for Cosmetics
03-05-2023,2720,Expense,Groceries,Payment for Vegetables
31-10-2024,2656,Expense,Dining Out,Payment for Cafes
04-04-2023,1764,Expense,Clothing,Payment for Casual Wear
13-10-2023,2645,Expense,Savings & Investments,Payment for Mutual Funds
03-02-2024,3020,Expense,Housing,Payment for Mortgage
28-08-2025,3319,Expense,Miscellaneous,Payment for Unexpected Expenses
13-10-2022,2651,Expense,Miscellaneous,Payment for Gifts
02-12-2022,528,Expense,Miscellaneous,Payment for Donations
02-03-2024,893,Expense,Miscellaneous,Payment for Gifts
07-07-2024,1675,Expense,Insurance,Payment for Home Insurance
19-09-2025,1930,Expense,Debt Payments,Payment for Loans
13-05-2024,3701,Income,Personal Care,Payment for Salon
25-10-2023,2167,Expense,Clothing,Payment for Casual Wear
21-11-2023,554,Expense,Entertainment,Payment for Movies
14-07-2023,159,Expense,Housing,Payment for Rent
12-10-2023,1455,Expense,Entertainment,Payment for Streaming Services
17-05-2023,4542,Income,Healthcare,Payment for Doctor
12-07-2025,3530,Income,Personal Care,Payment for Cosmetics
08-11-2022,400,Income,Savings & Investments,Payment for Stocks
15-08-2025,1607,Income,Savings & Investments,Payment for Mutual Funds
10-02-2023,3092,Expense,Entertainment,Payment for Streaming Services
17-04-2023,2886,Expense,Debt Payments,Payment for EMI
16-11-2024,3678,Expense,Clothing,Payment for Formal Wear
15-04-2025,2091,Expense,Dining Out,Payment for Takeaway
20-08-2025,160,Income,Education,Payment for Stationery
04-09-2025,4354,Income,Utilities,Payment for Gas
13-02-2024,1815,Income,Dining Out,Payment for Restaurants
09-11-2023,1251,Expense,Debt Payments,Payment for Loans
11-12-2024,3028,Expense,Travel,Payment for Hotels
05-01-2023,2522,Income,Transportation,Payment for Car Maintenance
12-08-2024,2425,Expense,Dining Out,Payment for Cafes
23-09-2024,60,Income,Miscellaneous,Payment for Gifts
16-05-2025,2351,Expense,Entertainment,Payment for Concerts
02-06-2024,1639,Expense,Transportation,Payment for Car Maintenance
02-07-2024,1551,Expense,Dining Out,Payment for Restaurants
23-07-2025,178,Expense,Insurance,Payment for Life Insurance
13-02-2024,3653,Expense,Insurance,Payment for Home Insurance
03-11-2024,4245,Income,Debt Payments,Payment for EMI
31-10-2023,339,Expense,Insurance,Payment for Vehicle Insurance
15-02-2025,1726,Expense,Utilities,Payment for Phone
01-12-2024,1894,Expense,Clothing,Payment for Casual Wear
26-10-2023,3685,Expense,Education,Payment for Books
23-04-2023,2743,Expense,Entertainment,Payment for Streaming Services
02-08-2025,1877,Expense,Personal Care,Payment for Cosmetics
08-03-2025,4810,Income,Housing,Payment for Mortgage
08-02-2025,1420,Expense,Groceries,Payment for Dairy
10-10-2024,4843,Income,Travel,Payment for Hotels
14-04-2024,3872,Income,Personal Care,Payment for Cosmetics
15-07-2025,232,Expense,Healthcare,Payment for Medicines
02-01-2023,400,Expense,Miscellaneous,Payment for Donations
26-01-2024,3636,Income,Debt Payments,Payment for EMI
17-05-2023,1451,Expense,Entertainment,Payment for Streaming Services
16-10-2024,2805,Expense,Housing,Payment for Rent
22-03-2024,4823,Income,Clothing,Payment for Shoes
23-08-2025,2899,Expense,Healthcare,Payment for Doctor
06-03-2024,4485,Expense,Savings & Investments,Payment for Fixed Deposits
28-04-2024,3262,Expense,Debt Payments,Payment for Loans
10-08-2024,4256,Expense,Groceries,Payment for Fruits
07-04-2024,4017,Expense,Entertainment,Payment for Games
07-07-2025,3977,Expense,Personal Care,Payment for Salon
05-07-2024,3479,Expense,Dining Out,Payment for Restaurants
02-12-2024,3538,Expense,Personal Care,Payment for Salon
15-08-2025,1945,Income,Personal Care,Payment for Gym Membership
06-04-2023,2958,Expense,Groceries,Payment for Vegetables
22-06-2024,1461,Expense,Entertainment,Payment for Streaming Services
17-06-2024,3432,Income,Entertainment,Payment for Streaming Services
28-05-2025,1993,Expense,Transportation,Payment for Car Maintenance
07-09-2024,4049,Expense,Personal Care,Payment for Gym Membership
08-07-2024,3168,Income,Clothing,Payment for Shoes
12-08-2023,705,Expense,Housing,Payment for Property Tax
12-08-2024,399,Expense,Housing,Payment for Rent
23-07-2024,4048,Expense,Healthcare,Payment for Medicines
14-12-2023,1193,Expense,Savings & Investments,Payment for Stocks
14-04-2024,447,Expense,Groceries,Payment for Dairy
07-05-2025,695,Expense,Personal Care,Payment for Salon
27-08-2024,4558,Expense,Savings & Investments,Payment for Stocks
19-01-2023,4182,Income,Clothing,Payment for Shoes
30-09-2022,2284,Expense,Healthcare,Payment for Health Insurance
01-07-2024,4565,Income,Entertainment,Payment for Games
06-05-2023,2822,Expense,Housing,Payment for Property Tax
30-01-2025,1533,Expense,Utilities,Payment for Electricity
18-10-2023,2284,Expense,Miscellaneous,Payment for Unexpected Expenses
09-09-2025,2033,Expense,Insurance,Payment for Home Insurance
27-09-2024,2012,Income,Debt Payments,Payment for Credit Card
02-06-2023,859,Income,Transportation,Payment for Car Maintenance
11-01-2025,3246,Income,Miscellaneous,Payment for Donations
19-04-2023,4465,Expense,Clothing,Payment for Casual Wear
29-01-2023,563,Expense,Healthcare,Payment for Medicines
03-11-2023,383,Income,Healthcare,Payment for Medicines
03-11-2024,2562,Expense,Clothing,Payment for Accessories
19-07-2023,4145,Expense,Dining Out,Payment for Cafes
05-07-2023,4869,Expense,Utilities,Payment for Phone
28-02-2025,57,Expense,Entertainment,Payment for Movies
14-04-2023,2053,Expense,Housing,Payment for Property Tax
06-06-2025,4309,Income,Personal Care,Payment for Salon
19-10-2024,4926,Expense,Insurance,Payment for Home Insurance
19-02-2023,2178,Expense,Insurance,Payment for Life Insurance
29-05-2024,1348,Expense,Miscellaneous,Payment for Unexpected Expenses
03-04-2023,2996,Expense,Clothing,Payment for Casual Wear
05-01-2024,1894,Income,Groceries,Payment for Fruits
19-07-2024,3661,Expense,Savings & Investments,Payment for Mutual Funds
31-10-2024,3115,Expense,Utilities,Payment for Internet
10-05-2025,1152,Expense,Transportation,Payment for Public Transport
05-11-2023,729,Expense,Transportation,Payment for Public Transport
22-02-2023,4583,Expense,Groceries,Payment for Vegetables
08-02-2025,3419,Expense,Utilities,Payment for Electricity
30-01-2024,4097,Expense,Healthcare,Payment for Health Insurance
14-04-2025,2873,Expense,Transportation,Payment for Taxi
01-04-2024,59,Expense,Healthcare,Payment for Doctor Visits
01-09-2023,4303,Income,Savings & Investments,Payment for Stocks
16-02-2025,2881,Income,Debt Payments,Payment for EMI
30-06-2024,3997,Income,Debt Payments,Payment for Credit Card
14-01-2024,4266,Expense,Dining Out,Payment for Takeaway
26-02-2023,2236,Expense,Insurance,Payment for Life Insurance
18-06-2023,723,Expense,Miscellaneous,Payment for Gifts
19-02-2023,2077,Expense,Utilities,Payment for Internet
09-09-2023,1506,Income,Clothing,Payment for Formal Wear
13-06-2024,93,Income,Personal Care,Payment for Salon
11-07-2025,4961,Income,Housing,Payment for Rent
25-02-2025,4243,Expense,Dining Out,Payment for Cafes
30-09-2022,3659,Income,Debt Payments,Payment for Credit Card
13-03-2025,1944,Income,Healthcare,Payment for Doctor Visits
09-06-2023,3831,Expense,Utilities,Payment for Phone
25-12-2023,2336,Expense,Dining Out,Payment for Cafes
24-08-2025,4620,Income,Healthcare,Payment for Doctor
09-07-2025,2621,Expense,Personal Care,Payment for Gym Membership
07-10-2022,1465,Expense,Miscellaneous,Payment for Donations
22-12-2024,58,Expense,Travel,Payment for Flights
24-04-2023,1912,Expense,Personal Care,Payment for Cosmetics
06-11-2023,1283,Income,Savings & Investments,Payment for Stocks
27-02-2023,3175,Expense,Travel,Payment for Sightseeing
21-11-2022,4761,Expense,Groceries,Payment for Fruits
17-06-2024,2507,Income,Entertainment,Payment for Streaming Services
07-05-2024,59,Expense,Transportation,Payment for Public Transport
10-01-2023,3054,Expense,Insurance,Payment for Home Insurance
09-06-2023,4697,Expense,Insurance,Payment for Home Insurance
20-02-2024,317,Income,Personal Care,Payment for Gym Membership
05-01-2023,3911,Expense,Debt Payments,Payment for Loans
28-02-2023,2764,Income,Miscellaneous,Payment for Donations
30-03-2025,4596,Expense,Education,Payment for Tuition
22-02-2025,2691,Income,Personal Care,Payment for Salon
01-09-2023,3856,Income,Dining Out,Payment for Cafes
28-12-2024,1441,Expense,Housing,Payment for Rent
12-05-2025,1132,Expense,Utilities,Payment for Gas
08-03-2023,343,Expense,Travel,Payment for Hotels
07-12-2024,4129,Expense,Savings & Investments,Payment for Fixed Deposits
31-10-2023,2885,Income,Dining Out,Payment for Cafes
22-12-2024,4255,Expense,Miscellaneous,Payment for Donations
03-11-2023,2204,Expense,Entertainment,Payment for Concerts
29-06-2024,2394,Income,Personal Care,Payment for Gym Membership
20-08-2025,3973,Expense,Clothing,Payment for Casual Wear
16-08-2024,1904,Income,Utilities,Payment for Phone
01-01-2024,3918,Expense,Dining Out,Payment for Takeaway
10-05-2025,3840,Expense,Education,Payment for Stationery
11-01-2024,3082,Expense,Miscellaneous,Payment for Donations
09-08-2025,894,Expense,Housing,Payment for Property Tax
17-10-2024,1757,Expense,Transportation,Payment for Fuel
05-11-2022,2057,Income,Travel,Payment for Hotels
16-05-2023,1323,Expense,Miscellaneous,Payment for Unexpected Expenses
13-04-2024,4484,Income,Utilities,Payment for Phone
10-12-2023,2154,Expense,Entertainment,Payment for Movies
25-10-2022,3017,Expense,Clothing,Payment for Accessories
12-05-2023,4292,Expense,Education,Payment for Books
04-12-2024,4891,Expense,Transportation,Payment for Public Transport
09-07-2023,1262,Expense,Healthcare,Payment for Doctor
23-02-2025,2345,Expense,Insurance,Payment for Home Insurance
15-05-2025,2247,Income,Housing,Payment for Mortgage
25-12-2023,4859,Expense,Savings & Investments,Payment for Mutual Funds
14-07-2025,3334,Income,Transportation,Payment for Taxi
22-12-2024,2314,Expense,Savings & Investments,Payment for Fixed Deposits
18-07-2024,1660,Income,Personal Care,Payment for Salon
28-03-2024,1468,Expense,Groceries,Payment for Dairy
05-09-2025,1836,Income,Clothing,Payment for Formal Wear
15-10-2022,4449,Income,Education,Payment for Courses
05-03-2023,3532,Expense,Miscellaneous,Payment for Gifts
18-01-2024,1927,Income,Transportation,Payment for Taxi
02-09-2025,2957,Expense,Groceries,Payment for Vegetables
28-02-2024,429,Income,Debt Payments,Payment for Credit Card
05-01-2023,3350,Expense,Miscellaneous,Payment for Unexpected Expenses
24-08-2025,743,Expense,Savings & Investments,Payment for Fixed Deposits
05-07-2023,3626,Expense,Transportation,Payment for Fuel
07-02-2024,4195,Income,Dining Out,Payment for Restaurants
27-07-2023,1497,Expense,Debt Payments,Payment for Loans
28-03-2023,2440,Expense,Healthcare,Payment for Medicines
27-05-2024,1805,Expense,Savings & Investments,Payment for Fixed Deposits
28-08-2024,3134,Expense,Miscellaneous,Payment for Donations
17-06-2025,1929,Expense,Insurance,Payment for Life Insurance
07-04-2023,2859,Income,Housing,Payment for Property Tax
08-06-2023,897,Income,Healthcare,Payment for Health Insurance
05-06-2025,3021,Income,Dining Out,Payment for Takeaway
13-04-2025,4111,Income,Insurance,Payment for Life Insurance
03-02-2023,1245,Income,Miscellaneous,Payment for Unexpected Expenses
16-10-2022,1562,Expense,Debt Payments,Payment for EMI
16-04-2024,3952,Expense,Transportation,Payment for Public Transport
20-04-2024,3370,Expense,Travel,Payment for Hotels
14-08-2024,2507,Income,Utilities,Payment for Electricity
15-06-2024,3512,Expense,Savings & Investments,Payment for Stocks
29-01-2025,3500,Expense,Miscellaneous,Payment for Gifts
17-05-2025,276,Expense,Groceries,Payment for Vegetables
02-03-2023,1857,Income,Travel,Payment for Sightseeing
31-01-2024,4358,Income,Insurance,Payment for Life Insurance
21-11-2024,468,Income,Clothing,Payment for Casual Wear
01-06-2023,1925,Expense,Travel,Payment for Hotels
26-08-2025,3205,Expense,Entertainment,Payment for Concerts
26-10-2024,968,Income,Groceries,Payment for Meat
19-03-2024,4922,Income,Healthcare,Payment for Health Insurance
06-04-2025,4104,Expense,Groceries,Payment for Vegetables
10-11-2023,3868,Expense,Personal Care,Payment for Salon
06-03-2024,4321,Expense,Transportation,Payment for Car Maintenance
03-01-2025,2681,Expense,Debt Payments,Payment for EMI
19-03-2025,3724,Expense,Dining Out,Payment for Restaurants
03-11-2022,1395,Income,Travel,Payment for Flights
13-08-2024,4680,Expense,Groceries,Payment for Fruits
18-10-2022,1879,Expense,Groceries,Payment for Dairy
15-08-2023,1713,Expense,Insurance,Payment for Vehicle Insurance
22-02-2024,4469,Income,Insurance,Payment for Home Insurance
02-11-2023,134,Expense,Dining Out,Payment for Takeaway
13-07-2024,3862,Expense,Personal Care,Payment for Cosmetics
27-05-2025,936,Expense,Savings & Investments,Payment for Fixed Deposits
12-01-2024,3389,Income,Personal Care,Payment for Salon
09-01-2025,4257,Expense,Entertainment,Payment for Movies
24-09-2024,2725,Expense,Entertainment,Payment for Movies
29-01-2025,2847,Expense,Personal Care,Payment for Gym Membership
18-11-2022,4197,Expense,Utilities,Payment for Phone
25-04-2024,2181,Income,Debt Payments,Payment for Loans
25-02-2023,3744,Income,Entertainment,Payment for Movies
08-08-2023,2809,Expense,Personal Care,Payment for Cosmetics
20-04-2024,2828,Expense,Insurance,Payment for Vehicle Insurance
30-07-2023,790,Expense,Personal Care,Payment for Gym Membership
10-08-2024,2926,Expense,Groceries,Payment for Meat
13-01-2025,4570,Expense,Travel,Payment for Sightseeing
10-09-2025,1761,Expense,Entertainment,Payment for Concerts
27-06-2025,105,Expense,Savings & Investments,Payment for Stocks
16-12-2023,3412,Expense,Transportation,Payment for Public Transport
02-06-2024,2909,Income,Savings & Investments,Payment for Fixed Deposits
17-06-2025,856,Expense,Dining Out,Payment for Restaurants
19-06-2023,3106,Expense,Dining Out,Payment for Cafes
09-09-2025,4800,Expense,Education,Payment for Courses
28-06-2025,1056,Expense,Savings & Investments,Payment for Mutual Funds
03-10-2022,4153,Income,Debt Payments,Payment for EMI
10-11-2024,1831,Expense,Groceries,Payment for Fruits
21-02-2025,1039,Expense,Education,Payment for Stationery
16-06-2025,3983,Expense,Education,Payment for Courses
28-02-2025,3214,Income,Groceries,Payment for Fruits
14-11-2022,3419,Income,Insurance,Payment for Vehicle Insurance
11-02-2025,2128,Expense,Transportation,Payment for Taxi
29-12-2024,427,Expense,Miscellaneous,Payment for Gifts
21-04-2025,2427,Expense,Utilities,Payment for Electricity
15-07-2024,331,Income,Miscellaneous,Payment for Gifts
24-06-2023,4784,Expense,Housing,Payment for Mortgage
03-10-2023,2969,Income,Utilities,Payment for Electricity
25-06-2024,4214,Income,Entertainment,Payment for Concerts
16-07-2024,3644,Expense,Personal Care,Payment for Cosmetics
26-01-2023,1888,Expense,Healthcare,Payment for Doctor Visits
06-01-2025,4482,Income,Clothing,Payment for Accessories
14-09-2025,2942,Income,Groceries,Payment for Vegetables
08-10-2024,264,Income,Utilities,Payment for Water
23-01-2023,4780,Expense,Miscellaneous,Payment for Gifts
27-11-2024,4568,Expense,Transportation,Payment for Car Maintenance
07-07-2025,2170,Expense,Utilities,Payment for Phone
14-09-2025,3843,Expense,Insurance,Payment for Life Insurance
23-06-2024,2920,Expense,Entertainment,Payment for Concerts
23-02-2024,835,Income,Personal Care,Payment for Salon
08-12-2024,987,Expense,Education,Payment for Courses
10-04-2024,1739,Expense,Dining Out,Payment for Takeaway
29-01-2024,3761,Income,Savings & Investments,Payment for Fixed Deposits
13-03-2025,1306,Income,Healthcare,Payment for Doctor
01-09-2024,3162,Income,Utilities,Payment for Water
01-05-2024,4584,Income,Savings & Investments,Payment for Fixed Deposits
26-11-2024,1387,Expense,Transportation,Payment for Fuel
05-02-2025,319,Expense,Housing,Payment for Rent
02-06-2023,1540,Expense,Utilities,Payment for Internet
01-03-2023,2171,Expense,Transportation,Payment for Car Maintenance
21-06-2025,1730,Expense,Education,Payment for Stationery
25-08-2024,4819,Expense,Transportation,Payment for Taxi
25-09-2025,3903,Income,Transportation,Payment for Car Maintenance
03-09-2025,459,Expense,Travel,Payment for Local Transport
03-07-2025,1491,Expense,Insurance,Payment for Life Insurance
31-12-2022,2308,Income,Personal Care,Payment for Salon
13-05-2025,841,Income,Personal Care,Payment for Gym Membership
06-07-2025,409,Expense,Utilities,Payment for Phone
25-12-2023,4727,Expense,Clothing,Payment for Formal Wear
28-03-2025,472,Income,Debt Payments,Payment for Loans
04-05-2023,170,Expense,Personal Care,Payment for Gym Membership
15-01-2024,2270,Expense,Dining Out,Payment for Takeaway
04-12-2023,4179,Expense,Dining Out,Payment for Cafes
04-09-2023,3015,Income,Healthcare,Payment for Doctor Visits
01-04-2024,120,Expense,Groceries,Payment for Snacks
20-09-2023,4690,Expense,Education,Payment for Books
21-10-2022,3742,Income,Travel,Payment for Local Transport
03-03-2024,4680,Expense,Clothing,Payment for Shoes
08-12-2024,3779,Expense,Dining Out,Payment for Takeaway
29-10-2024,63,Income,Entertainment,Payment for Movies
14-12-2023,3950,Income,Travel,Payment for Sightseeing
05-11-2024,3669,Income,Insurance,Payment for Life Insurance
10-07-2025,320,Expense,Miscellaneous,Payment for Unexpected Expenses
26-02-2024,3174,Income,Dining Out,Payment for Takeaway
03-08-2025,1633,Expense,Transportation,Payment for Fuel
28-11-2024,4608,Expense,Education,Payment for Tuition
30-08-2023,572,Income,Miscellaneous,Payment for Donations
13-06-2023,2867,Expense,Miscellaneous,Payment for Gifts
07-02-2024,2889,Expense,Travel,Payment for Sightseeing
12-03-2025,492,Expense,Healthcare,Payment for Medicines
07-03-2023,2133,Income,Debt Payments,Payment for EMI
27-01-2025,2977,Expense,Utilities,Payment for Gas
18-08-2024,1271,Expense,Dining Out,Payment for Cafes
13-10-2023,3499,Expense,Groceries,Payment for Fruits
12-05-2025,2490,Income,Travel,Payment for Hotels
19-08-2024,2412,Expense,Healthcare,Payment for Medicines
30-08-2025,4553,Expense,Dining Out,Payment for Restaurants
10-07-2023,944,Income,Insurance,Payment for Home Insurance
30-10-2023,3952,Expense,Miscellaneous,Payment for Gifts
10-10-2022,2303,Expense,Clothing,Payment for Accessories
09-02-2024,2060,Expense,Savings & Investments,Payment for Stocks
21-10-2024,4240,Expense,Miscellaneous,Payment for Unexpected Expenses
02-11-2022,4685,Expense,Clothing,Payment for Casual Wear
24-09-2024,3265,Expense,Travel,Payment for Hotels
24-01-2025,4654,Expense,Healthcare,Payment for Health Insurance
27-12-2022,2610,Expense,Utilities,Payment for Electricity
12-11-2024,2896,Expense,Entertainment,Payment for Concerts
25-05-2024,1095,Expense,Insurance,Payment for Life Insurance
25-05-2025,4883,Expense,Insurance,Payment for Home Insurance
16-07-2025,2984,Expense,Entertainment,Payment for Games
20-11-2023,520,Expense,Miscellaneous,Payment for Gifts
21-01-2023,4429,Income,Debt Payments,Payment for Credit Card
06-06-2024,421,Income,Savings & Investments,Payment for Fixed Deposits
01-01-2025,3453,Expense,Dining Out,Payment for Restaurants
15-11-2023,1453,Income,Dining Out,Payment for Cafes
26-09-2024,4652,Income,Healthcare,Payment for Doctor Visits
15-07-2025,3996,Expense,Miscellaneous,Payment for Donations
28-10-2024,4125,Income,Housing,Payment for Property Tax
04-08-2024,4723,Income,Savings & Investments,Payment for Mutual Funds
29-12-2023,2570,Expense,Insurance,Payment for Vehicle Insurance
05-04-2025,1057,Expense,Savings & Investments,Payment for Mutual Funds
08-04-2023,3396,Expense,Transportation,Payment for Fuel
06-10-2024,717,Expense,Transportation,Payment for Car Maintenance
02-06-2025,1496,Expense,Miscellaneous,Payment for Gifts
03-07-2025,4016,Expense,Insurance,Payment for Life Insurance
02-01-2023,1957,Expense,Groceries,Payment for Meat
22-07-2024,2417,Income,Dining Out,Payment for Takeaway
04-11-2022,2155,Income,Groceries,Payment for Vegetables
04-07-2023,4418,Expense,Savings & Investments,Payment for Stocks
03-05-2023,3079,Expense,Healthcare,Payment for Medicines
11-02-2025,90,Expense,Utilities,Payment for Gas
17-02-2025,4883,Expense,Education,Payment for Stationery
29-11-2022,4854,Expense,Miscellaneous,Payment for Gifts
16-05-2024,175,Expense,Education,Payment for Stationery
26-09-2024,827,Expense,Dining Out,Payment for Cafes
30-10-2023,885,Income,Dining Out,Payment for Cafes
27-08-2024,928,Expense,Housing,Payment for Property Tax
06-08-2025,4539,Income,Healthcare,Payment for Health Insurance
24-03-2023,4973,Expense,Utilities,Payment for Internet
29-10-2023,886,Expense,Personal Care,Payment for Salon
17-12-2023,574,Expense,Debt Payments,Payment for EMI
13-12-2022,1301,Expense,Healthcare,Payment for Medicines
20-06-2023,4291,Expense,Personal Care,Payment for Gym Membership
27-12-2023,784,Expense,Debt Payments,Payment for Loans
15-09-2024,218,Expense,Clothing,Payment for Shoes
02-10-2024,1198,Expense,Transportation,Payment for Public Transport
26-01-2025,349,Expense,Dining Out,Payment for Cafes
19-02-2023,3371,Expense,Housing,Payment for Property Tax
01-03-2025,571,Income,Dining Out,Payment for Restaurants
25-09-2025,667,Expense,Education,Payment for Courses
29-10-2023,3634,Expense,Dining Out,Payment for Takeaway
12-08-2025,1767,Expense,Education,Payment for Stationery
03-05-2025,4651,Expense,Insurance,Payment for Home Insurance
07-03-2025,351,Expense,Groceries,Payment for Fruits
19-04-2024,702,Expense,Miscellaneous,Payment for Gifts
26-08-2025,3351,Expense,Debt Payments,Payment for Credit Card
15-01-2023,4209,Expense,Miscellaneous,Payment for Donations
29-08-2025,2687,Income,Insurance,Payment for Vehicle Insurance
20-04-2025,2329,Expense,Dining Out,Payment for Cafes
31-10-2023,1672,Income,Healthcare,Payment for Health Insurance
23-06-2024,4464,Income,Debt Payments,Payment for Credit Card
30-09-2024,1731,Expense,Personal Care,Payment for Cosmetics
21-05-2023,4974,Income,Healthcare,Payment for Doctor
17-07-2024,141,Expense,Miscellaneous,Payment for Donations
18-10-2024,3756,Expense,Debt Payments,Payment for Credit Card
08-05-2024,1010,Expense,Entertainment,Payment for Games
27-07-2025,4209,Expense,Education,Payment for Tuition
09-05-2025,893,Income,Clothing,Payment for Accessories
02-02-2024,268,Expense,Entertainment,Payment for Movies
29-03-2025,753,Income,Groceries,Payment for Fruits
17-03-2023,4764,Expense,Insurance,Payment for Home Insurance
01-05-2025,296,Expense,Insurance,Payment for Vehicle Insurance
01-12-2024,4087,Expense,Debt Payments,Payment for Loans
23-06-2024,106,Expense,Healthcare,Payment for Medicines
27-10-2022,4009,Expense,Clothing,Payment for Casual Wear
02-09-2023,4902,Expense,Insurance,Payment for Home Insurance
10-02-2024,1908,Expense,Savings & Investments,Payment for Mutual Funds
21-02-2024,1962,Income,Miscellaneous,Payment for Donations
03-05-2023,4271,Expense,Personal Care,Payment for Cosmetics
26-09-2025,316,Expense,Travel,Payment for Sightseeing
17-12-2023,3532,Expense,Utilities,Payment for Water
20-02-2025,1730,Income,Housing,Payment for Mortgage
14-03-2023,3243,Expense,Insurance,Payment for Life Insurance
28-12-2022,1581,Expense,Dining Out,Payment for Restaurants
11-09-2024,2056,Income,Dining Out,Payment for Takeaway
06-11-2022,4755,Expense,Utilities,Payment for Electricity
20-03-2023,4614,Expense,Travel,Payment for Hotels
12-07-2024,4946,Expense,Savings & Investments,Payment for Stocks
21-10-2024,4278,Expense,Dining Out,Payment for Cafes
14-09-2025,3500,Expense,Healthcare,Payment for Doctor
17-01-2024,1069,Income,Utilities,Payment for Phone
28-12-2023,367,Expense,Entertainment,Payment for Games
04-01-2025,1650,Income,Entertainment,Payment for Movies
11-03-2025,760,Expense,Groceries,Payment for Meat
19-07-2025,3246,Income,Travel,Payment for Sightseeing
20-10-2023,500,Income,Housing,Payment for Rent
11-09-2023,1931,Expense,Insurance,Payment for Vehicle Insurance
